"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.GAGNON","2012-2013","Regular","C","WPG",10,81.5,3,0,0,0,3,3,2.21,0,0,0,2.21,2.21,17,12.52,17.65,14,10.31,21.43,11,8.1,27.27,1.36,1,9.71,6,4.42,7,7,2,4,4,30,27,52.63,1,1,0,1,2,20.81
"2","AARON.JOHNSON","2012-2013","Regular","D","BOS",10,148.86,0,0,0,0,0,0,0,0,0,0,0,0,23,9.27,0,11,4.43,0,8,3.22,0,0.25,0.1,2.31,0,0,18,21,7,0,5,0,0,NA,5,1,-4,0,0,49.46
"3","AARON.PALUSHAJ","2012-2013","Regular","R","COL",25,282.02,2,3,4,7,9,5,0.43,0.64,0.85,1.49,1.91,1.06,49,10.42,4.08,37,7.87,5.41,29,6.17,6.9,2.13,0.45,5.76,8,1.7,32,33,5,8,13,2,6,25,4,8,4,0,0,26.81
"4","AARON.ROME","2012-2013","Regular","D","DAL",27,412.72,0,3,2,5,5,3,0,0.44,0.29,0.73,0.73,0.44,40,5.82,0,21,3.05,0,15,2.18,0,0.49,0.07,2.32,1,0.15,43,46,9,2,32,0,0,NA,8,4,-4,0,0,50.75
"5","AARON.VOLPATTI","2012-2013","Regular","L","VAN/WSH",33,275.1,1,1,0,1,2,2,0.22,0.22,0,0.22,0.44,0.44,42,9.16,2.38,32,6.98,3.12,21,4.58,4.76,2.13,0.46,6.66,10,2.18,80,58,5,4,10,1,3,25,10,4,-6,1,2,30.76
"6","ADAM.BURISH","2012-2013","Regular","R","S.J",46,485.82,1,1,1,2,3,2,0.12,0.12,0.12,0.25,0.37,0.25,74,9.14,1.35,57,7.04,1.75,39,4.82,2.56,3.53,0.44,6.2,10,1.24,65,48,10,4,33,122,106,53.51,8,13,5,0,6,31.33
"7","ADAM.CRACKNELL","2012-2013","Regular","R","STL",20,172.16,2,2,2,4,6,4,0.7,0.7,0.7,1.39,2.09,1.39,39,13.59,5.13,29,10.11,6.9,21,7.32,9.52,1.67,0.58,5.76,4,1.39,22,29,1,6,7,6,19,24,2,2,0,1,2,24.01
"8","ADAM.HALL","2012-2013","Regular","R","CAR/PHI/T.B",37,389.02,0,3,1,4,4,3,0,0.46,0.15,0.62,0.62,0.46,52,8.02,0,47,7.25,0,34,5.24,0,2.71,0.42,5.77,7,1.08,59,29,6,11,26,141,110,56.18,4,5,1,2,8,30.79
"9","ADAM.HENRIQUE","2012-2013","Regular","C","N.J",42,768.15,11,5,0,5,16,16,0.86,0.39,0,0.39,1.25,1.25,140,10.94,7.86,116,9.06,9.48,78,6.09,14.1,10.44,0.82,9,40,3.12,27,35,13,26,21,333,347,48.97,7,9,2,8,11,25.17
"10","ADAM.LARSSON","2012-2013","Regular","D","N.J",37,669.16,0,3,3,6,6,3,0,0.27,0.27,0.54,0.54,0.27,68,6.1,0,40,3.59,0,30,2.69,0,0.82,0.07,2.06,0,0,37,63,22,17,49,0,0,NA,6,7,1,0,1,51.96
