"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"1","AARON.NESS","2013-2014","Regular","D","NYI",20,296.09,1,0,2,2,3,1,0.2,0,0.41,0.41,0.61,0.2,49,9.93,2.04,32,6.48,3.12,23,4.66,4.35,0.97,0.2,3.02,1,0.2,14,31,7,3,26,0,0,NA,5,1,-4,0,0,42.19
"2","AARON.ROME","2013-2014","Regular","D","DAL",25,325.34,0,1,0,1,1,1,0,0.18,0,0.18,0.18,0.18,36,6.64,0,22,4.06,0,15,2.77,0,0.57,0.1,2.57,1,0.18,20,41,12,2,38,0,0,NA,4,2,-2,1,0,49.21
"3","AARON.VOLPATTI","2013-2014","Regular","L","WSH",41,302,2,0,0,0,2,2,0.4,0,0,0,0.4,0.4,39,7.75,5.13,27,5.36,7.41,18,3.58,11.11,2,0.4,7.42,6,1.19,77,55,1,6,10,4,8,33.33,12,3,-9,4,0,25.81
"4","ADAM.BURISH","2013-2014","Regular","R","S.J",15,144.03,0,0,0,0,0,0,0,0,0,0,0,0,18,7.5,0,16,6.67,0,9,3.75,0,1.01,0.42,6.31,4,1.67,23,17,1,2,9,39,36,52,3,1,-2,0,2,30.86
"5","ADAM.CRACKNELL","2013-2014","Regular","R","STL",19,154.81,0,1,1,2,2,1,0,0.39,0.39,0.78,0.78,0.39,28,10.85,0,23,8.91,0,16,6.2,0,1.23,0.48,5.36,7,2.71,33,26,0,3,8,10,17,37.04,0,3,3,0,1,30.47
"6","ADAM.HALL","2013-2014","Regular","R","PHI",80,783.66,4,3,2,5,9,7,0.31,0.23,0.15,0.38,0.69,0.54,103,7.89,3.88,80,6.13,5,61,4.67,6.56,4.87,0.37,6.08,16,1.23,77,66,6,18,46,314,213,59.58,10,5,-5,3,8,33.17
"7","ADAM.HENRIQUE","2013-2014","Regular","C","N.J",77,1389.56,25,9,9,18,43,34,1.08,0.39,0.39,0.78,1.86,1.47,223,9.63,11.21,181,7.82,13.81,137,5.92,18.25,17.14,0.74,9.47,71,3.07,73,71,30,50,50,407,511,44.34,9,18,9,10,9,22.11
"8","ADAM.LARSSON","2013-2014","Regular","D","N.J",26,461.76,1,2,0,2,3,3,0.13,0.26,0,0.26,0.39,0.39,54,7.02,1.85,31,4.03,3.23,20,2.6,5,0.53,0.07,1.7,0,0,41,36,10,4,37,0,0,NA,6,3,-3,0,0,52.49
"9","ADAM.MCQUAID","2013-2014","Regular","D","BOS",30,481.4,1,2,3,5,6,3,0.12,0.25,0.37,0.62,0.75,0.37,57,7.1,1.75,32,3.99,3.12,25,3.12,4,0.57,0.07,1.78,0,0,54,40,10,1,42,0,0,NA,18,7,-11,0,4,55
"10","ADAM.PARDY","2013-2014","Regular","D","WPG",60,864.53,0,2,4,6,6,2,0,0.14,0.28,0.42,0.42,0.14,100,6.94,0,68,4.72,0,47,3.26,0,2.49,0.17,3.66,6,0.42,77,117,31,15,55,0,0,NA,17,4,-13,1,7,43.38
"11","ALEC.MARTINEZ","2013-2014","Regular","D","L.A",61,956.2,11,4,7,11,22,15,0.69,0.25,0.44,0.69,1.38,0.94,223,13.99,4.93,141,8.85,7.8,79,4.96,13.92,7.34,0.46,5.21,23,1.44,96,113,27,5,75,0,0,NA,7,5,-2,10,11,42.97
"12","ALEKSANDER.BARKOV","2013-2014","Regular","C","FLA",54,923.07,8,12,4,16,24,20,0.52,0.78,0.26,1.04,1.56,1.3,134,8.71,5.97,103,6.7,7.77,87,5.66,9.2,8.4,0.55,8.15,30,1.95,16,71,17,30,27,399,419,48.78,4,6,2,8,5,26.99
"13","ALES.HEMSKY","2013-2014","Regular","R","EDM/OTT",75,1193.36,13,15,15,30,43,28,0.65,0.75,0.75,1.51,2.16,1.41,235,11.82,5.53,178,8.95,7.3,138,6.94,9.42,13.79,0.69,7.75,49,2.46,37,108,42,44,33,1,3,25,14,15,1,9,10,28.19
"14","ALEX.BURROWS","2013-2014","Regular","L","VAN",49,871.07,5,6,4,10,15,11,0.34,0.41,0.28,0.69,1.03,0.76,201,13.85,2.49,155,10.68,3.23,104,7.16,4.81,11.96,0.82,7.72,46,3.17,84,77,13,24,33,23,32,41.82,25,15,-10,9,7,25.84
"15","ALEX.CHIASSON","2013-2014","Regular","R","DAL",79,1191.08,13,11,11,22,35,24,0.65,0.55,0.55,1.11,1.76,1.21,279,14.05,4.66,218,10.98,5.96,144,7.25,9.03,24.21,1.22,11.11,98,4.94,76,108,26,27,21,64,68,48.48,14,11,-3,20,13,21.44
"16","ALEX.EDLER","2013-2014","Regular","D","VAN",63,1458.56,7,5,10,15,22,12,0.29,0.21,0.41,0.62,0.91,0.49,404,16.62,1.73,246,10.12,2.85,178,7.32,3.93,8.41,0.35,3.42,18,0.74,112,157,34,28,136,2,1,66.67,25,13,-12,9,8,50.75
"17","ALEXEI.EMELIN","2013-2014","Regular","D","MTL",59,1132.88,3,3,11,14,17,6,0.16,0.16,0.58,0.74,0.9,0.32,135,7.15,2.22,92,4.87,3.26,58,3.07,5.17,2.29,0.12,2.49,0,0,189,100,44,7,127,0,0,NA,23,13,-10,2,3,51.8
"18","ALEX.GALCHENYUK","2013-2014","Regular","C","MTL",65,933.29,13,13,5,18,31,26,0.84,0.84,0.32,1.16,1.99,1.67,193,12.41,6.74,146,9.39,8.9,110,7.07,11.82,14.44,0.93,9.89,55,3.54,49,71,23,30,25,5,10,33.33,13,13,0,13,11,23.17
"19","ALEX.GOLIGOSKI","2013-2014","Regular","D","DAL",81,1968.27,6,19,17,36,42,25,0.18,0.58,0.52,1.1,1.28,0.76,298,9.08,2.01,194,5.91,3.09,141,4.3,4.26,7.94,0.24,4.09,18,0.55,94,125,88,18,154,0,1,0,14,11,-3,7,4,43.75
"20","ALEX.KILLORN","2013-2014","Regular","C","T.B",82,1373,18,9,15,24,42,27,0.79,0.39,0.66,1.05,1.84,1.18,304,13.28,5.92,238,10.4,7.56,175,7.65,10.29,16.25,0.71,6.83,59,2.58,77,95,43,32,31,74,98,43.02,24,17,-7,6,15,27.13
"21","ALEX.OVECHKIN","2013-2014","Regular","L","WSH",78,1583.39,51,17,11,28,79,68,1.93,0.64,0.42,1.06,2.99,2.58,767,29.06,6.65,567,21.49,8.99,386,14.63,13.21,33.34,1.26,5.88,91,3.45,204,104,48,32,22,2,1,66.67,24,21,-3,14,31,36.03
"22","ALEX.PETROVIC","2013-2014","Regular","D","FLA",7,85.64,0,1,0,1,1,1,0,0.7,0,0.7,0.7,0.7,11,7.71,0,7,4.9,0,4,2.8,0,0.22,0.15,3.15,1,0.7,24,11,0,0,5,0,0,NA,4,2,-2,0,0,48.36
"23","ALEX.PIETRANGELO","2013-2014","Regular","D","STL",81,2044.4,8,24,19,43,51,32,0.23,0.7,0.56,1.26,1.5,0.94,421,12.36,1.9,264,7.75,3.03,164,4.81,4.88,9.86,0.29,3.73,18,0.53,24,137,34,37,164,0,0,NA,11,8,-3,10,13,46.84
"24","ALEX.SEMIN","2013-2014","Regular","L","CAR",65,1285.29,22,13,7,20,42,35,1.03,0.61,0.33,0.93,1.96,1.63,486,22.69,4.53,332,15.5,6.63,210,9.8,10.48,20.62,0.96,6.21,62,2.89,22,69,56,49,30,1,9,10,21,20,-1,11,25,33.63
